wavelength_nm,ED_m2,MD_m2,EQ_m2,MQ_m2,Total_m2
400.00,4.3047181e-14,1.8706823e-14,9.9680614e-15,1.1311989e-15,7.2912326e-14
402.00,4.3636026e-14,1.8536605e-14,9.650677e-15,1.0973785e-15,7.2976533e-14
404.00,4.4222069e-14,1.8367242e-14,9.3423972e-15,1.0646066e-15,7.3049134e-14
406.00,4.4805192e-14,1.8198762e-14,9.0430961e-15,1.0328506e-15,7.3129869e-14
408.00,4.5385277e-14,1.8031193e-14,8.7526351e-15,1.0020784e-15,7.3218465e-14
410.00,4.5962209e-14,1.7864557e-14,8.4708652e-15,9.7225933e-16,7.3314641e-14
412.00,4.6535869e-14,1.769888e-14,8.1976275e-15,9.4336336e-16,7.3418103e-14
414.00,4.7106142e-14,1.7534181e-14,7.9327556e-15,9.153615e-16,7.3528554e-14
416.00,4.767291e-14,1.7370483e-14,7.6760762e-15,8.8822562e-16,7.3645686e-14
418.00,4.8236056e-14,1.7207802e-14,7.427411e-15,8.6192848e-16,7.3769188e-14
420.00,4.8795464e-14,1.7046158e-14,7.186577e-15,8.3644366e-16,7.3898744e-14
422.00,4.9351018e-14,1.6885566e-14,6.9533882e-15,8.1174557e-16,7.4034036e-14
424.00,4.9902599e-14,1.6726042e-14,6.7276563e-15,7.8780943e-16,7.4174743e-14
426.00,5.0450092e-14,1.65676e-14,6.5091913e-15,7.646112e-16,7.4320541e-14
428.00,5.0993379e-14,1.6410251e-14,6.2978027e-15,7.4212761e-16,7.4471107e-14
430.00,5.1532343e-14,1.625401e-14,6.0932998e-15,7.2033612e-16,7.4626119e-14
432.00,5.2066869e-14,1.6098885e-14,5.8954925e-15,6.992149e-16,7.4785252e-14
434.00,5.2596838e-14,1.5944888e-14,5.7041918e-15,6.7874279e-16,7.4948185e-14
436.00,5.3122134e-14,1.5792026e-14,5.5192102e-15,6.588993e-16,7.5114599e-14
438.00,5.364264e-14,1.5640309e-14,5.3403625e-15,6.396646e-16,7.5284174e-14
440.00,5.4158239e-14,1.5489743e-14,5.1674654e-15,6.2101948e-16,7.5456595e-14
442.00,5.4668814e-14,1.5340334e-14,5.0003386e-15,6.0294532e-16,7.5631549e-14
444.00,5.517425e-14,1.5192089e-14,4.8388047e-15,5.8542412e-16,7.5808727e-14
446.00,5.5674429e-14,1.5045012e-14,4.6826896e-15,5.6843842e-16,7.5987822e-14
448.00,5.6169235e-14,1.4899107e-14,4.5318224e-15,5.5197133e-16,7.6168532e-14
450.00,5.6658552e-14,1.4754378e-14,4.3860358e-15,5.3600651e-16,7.6350558e-14
452.00,5.7142265e-14,1.4610828e-14,4.2451664e-15,5.205281e-16,7.6533604e-14
454.00,5.7620259e-14,1.4468458e-14,4.1090543e-15,5.0552079e-16,7.671738e-14
456.00,5.8092417e-14,1.4327271e-14,3.9775438e-15,4.9096973e-16,7.6901601e-14
458.00,5.8558627e-14,1.4187267e-14,3.8504828e-15,4.7686055e-16,7.7085983e-14
460.00,5.9018774e-14,1.4048447e-14,3.7277234e-15,4.6317934e-16,7.727025e-14
462.00,5.9472744e-14,1.3910812e-14,3.6091216e-15,4.4991263e-16,7.745413e-14
464.00,5.9920426e-14,1.377436e-14,3.4945374e-15,4.3704739e-16,7.7637353e-14
466.00,6.0361706e-14,1.363909e-14,3.3838349e-15,4.24571e-16,7.7819658e-14
468.00,6.0796475e-14,1.3505002e-14,3.276882e-15,4.1247123e-16,7.8000785e-14
470.00,6.1224622e-14,1.3372093e-14,3.1735506e-15,4.0073628e-16,7.8180482e-14
472.00,6.1646038e-14,1.3240361e-14,3.0737164e-15,3.8935468e-16,7.83585e-14
474.00,6.2060614e-14,1.3109804e-14,2.977259e-15,3.7831537e-16,7.8534595e-14
476.00,6.2468245e-14,1.2980418e-14,2.8840618e-15,3.6760761e-16,7.8708529e-14
478.00,6.2868823e-14,1.28522e-14,2.7940118e-15,3.5722102e-16,7.8880068e-14
480.00,6.3262245e-14,1.2725148e-14,2.7069998e-15,3.4714556e-16,7.9048984e-14
482.00,6.3648408e-14,1.2599255e-14,2.62292e-15,3.3737149e-16,7.9215053e-14
484.00,6.402721e-14,1.247452e-14,2.5416701e-15,3.2788941e-16,7.9378058e-14
486.00,6.4398552e-14,1.2350936e-14,2.4631512e-15,3.1869019e-16,7.9537784e-14
488.00,6.4762335e-14,1.22285e-14,2.3872677e-15,3.0976502e-16,7.9694024e-14
490.00,6.5118463e-14,1.2107205e-14,2.3139274e-15,3.0110535e-16,7.9846575e-14
492.00,6.5466843e-14,1.1987048e-14,2.2430411e-15,2.9270293e-16,7.9995239e-14
494.00,6.580738e-14,1.1868021e-14,2.1745227e-15,2.8454974e-16,8.0139823e-14
496.00,6.6139986e-14,1.1750121e-14,2.1082889e-15,2.7663805e-16,8.028014e-14
498.00,6.6464573e-14,1.163334e-14,2.0442596e-15,2.6896037e-16,8.0416007e-14
500.00,6.6781054e-14,1.1517673e-14,1.9823573e-15,2.6150942e-16,8.0547247e-14
502.00,6.7089346e-14,1.1403114e-14,1.9225072e-15,2.5427819e-16,8.0673689e-14
504.00,6.7389368e-14,1.1289656e-14,1.8646373e-15,2.4725988e-16,8.0795166e-14
506.00,6.7681043e-14,1.1177292e-14,1.808678e-15,2.404479e-16,8.0911516e-14
508.00,6.7964295e-14,1.1066016e-14,1.7545623e-15,2.3383589e-16,8.1022583e-14
510.00,6.8239052e-14,1.0955821e-14,1.7022254e-15,2.2741767e-16,8.1128217e-14
512.00,6.8505243e-14,1.08467e-14,1.651605e-15,2.2118727e-16,8.1228272e-14
514.00,6.8762801e-14,1.0738645e-14,1.6026409e-15,2.1513892e-16,8.1322608e-14
516.00,6.9011664e-14,1.0631651e-14,1.5552751e-15,2.0926701e-16,8.1411091e-14
518.00,6.9251771e-14,1.0525709e-14,1.5094519e-15,2.0356612e-16,8.1493589e-14
520.00,6.9483064e-14,1.0420812e-14,1.4651172e-15,1.9803102e-16,8.1569981e-14
522.00,6.970549e-14,1.0316952e-14,1.4222191e-15,1.9265662e-16,8.1640146e-14
524.00,6.9918999e-14,1.0214123e-14,1.3807077e-15,1.8743801e-16,8.1703973e-14
526.00,7.0123542e-14,1.0112316e-14,1.3405346e-15,1.8237042e-16,8.1761352e-14
528.00,7.0319078e-14,1.0011524e-14,1.3016533e-15,1.7744924e-16,8.1812182e-14
530.00,7.0505567e-14,9.9117386e-15,1.2640191e-15,1.7267002e-16,8.1856365e-14
532.00,7.0682972e-14,9.8129528e-15,1.2275887e-15,1.6802843e-16,8.1893811e-14
534.00,7.0851262e-14,9.7151583e-15,1.1923206e-15,1.6352028e-16,8.1924433e-14
536.00,7.1010408e-14,9.6183475e-15,1.1581745e-15,1.5914153e-16,8.1948151e-14
538.00,7.1160386e-14,9.5225122e-15,1.125112e-15,1.5488824e-16,8.196489e-14
540.00,7.1301175e-14,9.4276448e-15,1.0930956e-15,1.5075663e-16,8.197458e-14
542.00,7.143276e-14,9.333737e-15,1.0620895e-15,1.4674301e-16,8.1977157e-14
544.00,7.1555128e-14,9.2407811e-15,1.0320591e-15,1.4284381e-16,8.1972562e-14
546.00,7.166827e-14,9.148769e-15,1.0029711e-15,1.3905559e-16,8.1960743e-14
548.00,7.1772183e-14,9.0576927e-15,9.7479327e-16,1.35375e-16,8.1941652e-14
550.00,7.1866867e-14,8.9675441e-15,9.4749466e-16,1.317988e-16,8.1915246e-14
552.00,7.1952326e-14,8.8783153e-15,9.2104541e-16,1.2832387e-16,8.1881488e-14
554.00,7.2028569e-14,8.7899982e-15,8.9541673e-16,1.2494716e-16,8.1840347e-14
556.00,7.2095608e-14,8.7025849e-15,8.705809e-16,1.2166573e-16,8.1791797e-14
558.00,7.215346e-14,8.6160672e-15,8.4651115e-16,1.1847674e-16,8.1735817e-14
560.00,7.2202147e-14,8.5304372e-15,8.231817e-16,1.1537741e-16,8.1672392e-14
562.00,7.2241693e-14,8.4456869e-15,8.0056771e-16,1.1236508e-16,8.1601511e-14
564.00,7.2272128e-14,8.3618084e-15,7.7864521e-16,1.0943717e-16,8.1523169e-14
566.00,7.2293487e-14,8.2787936e-15,7.5739108e-16,1.0659114e-16,8.1437366e-14
568.00,7.2305807e-14,8.1966346e-15,7.3678306e-16,1.0382459e-16,8.1344107e-14
570.00,7.2309129e-14,8.1153235e-15,7.1679966e-16,1.0113514e-16,8.1243403e-14
572.00,7.2303501e-14,8.0348524e-15,6.9742015e-16,9.8520528e-17,8.1135269e-14
574.00,7.2288973e-14,7.9552134e-15,6.7862458e-16,9.597853e-17,8.1019725e-14
576.00,7.2265599e-14,7.8763987e-15,6.6039365e-16,9.3507007e-17,8.0896797e-14
578.00,7.2233436e-14,7.7984004e-15,6.4270879e-16,9.1103882e-17,8.0766513e-14
580.00,7.2192549e-14,7.7212109e-15,6.2555207e-16,8.8767143e-17,8.0628908e-14
582.00,7.2143002e-14,7.6448223e-15,6.0890619e-16,8.6494841e-17,8.0484022e-14
584.00,7.2084866e-14,7.5692269e-15,5.9275448e-16,8.4285085e-17,8.0331898e-14
586.00,7.2018215e-14,7.4944171e-15,5.7708083e-16,8.2136045e-17,8.0172584e-14
588.00,7.1943126e-14,7.4203853e-15,5.6186971e-16,8.0045945e-17,8.0006132e-14
590.00,7.1859679e-14,7.3471237e-15,5.4710614e-16,7.8013066e-17,7.98326e-14
592.00,7.176796e-14,7.274625e-15,5.3277566e-16,7.603574e-17,7.9652049e-14
594.00,7.1668057e-14,7.2028815e-15,5.188643e-16,7.411235e-17,7.9464542e-14
596.00,7.1560061e-14,7.1318858e-15,5.053586e-16,7.2241329e-17,7.9270149e-14
598.00,7.1444067e-14,7.0616306e-15,4.9224554e-16,7.042116e-17,7.9068943e-14
600.00,7.1320172e-14,6.9921083e-15,4.7951259e-16,6.865037e-17,7.8861e-14
602.00,7.1188477e-14,6.9233117e-15,4.6714762e-16,6.692753e-17,7.86464e-14
604.00,7.1049087e-14,6.8552336e-15,4.5513894e-16,6.5251258e-17,7.8425226e-14
606.00,7.0902108e-14,6.7878666e-15,4.4347524e-16,6.3620212e-17,7.8197566e-14
608.00,7.0747649e-14,6.7212036e-15,4.3214561e-16,6.203309e-17,7.7963508e-14
610.00,7.0585823e-14,6.6552374e-15,4.2113954e-16,6.0488631e-17,7.7723147e-14
612.00,7.0416744e-14,6.589961e-15,4.1044683e-16,5.8985613e-17,7.7476579e-14
614.00,7.024053e-14,6.5253674e-15,4.0005766e-16,5.7522847e-17,7.7223902e-14
616.00,7.0057299e-14,6.4614495e-15,3.8996255e-16,5.6099186e-17,7.6965219e-14
618.00,6.9867173e-14,6.3982005e-15,3.8015232e-16,5.4713511e-17,7.6700633e-14
620.00,6.9670276e-14,6.3356134e-15,3.7061811e-16,5.3364743e-17,7.6430252e-14
622.00,6.9466734e-14,6.2736815e-15,3.6135137e-16,5.2051831e-17,7.6154183e-14
624.00,6.9256673e-14,6.2123979e-15,3.5234381e-16,5.0773757e-17,7.587254e-14
626.00,6.9040223e-14,6.151756e-15,3.4358746e-16,4.9529535e-17,7.5585434e-14
628.00,6.8817514e-14,6.0917491e-15,3.3507457e-16,4.8318206e-17,7.5292982e-14
630.00,6.8588679e-14,6.0323706e-15,3.2679769e-16,4.7138842e-17,7.49953e-14
632.00,6.835385e-14,5.9736139e-15,3.187496e-16,4.5990541e-17,7.4692507e-14
634.00,6.8113163e-14,5.9154725e-15,3.1092332e-16,4.4872428e-17,7.4384722e-14
636.00,6.7866752e-14,5.8579401e-15,3.0331211e-16,4.3783656e-17,7.4072069e-14
638.00,6.7614755e-14,5.8010102e-15,2.9590944e-16,4.2723401e-17,7.3754669e-14
640.00,6.7357309e-14,5.7446764e-15,2.8870901e-16,4.1690865e-17,7.3432646e-14
642.00,6.7094552e-14,5.6889326e-15,2.8170472e-16,4.0685273e-17,7.3106126e-14
644.00,6.6826623e-14,5.6337724e-15,2.7489067e-16,3.9705873e-17,7.2775234e-14
646.00,6.655366e-14,5.5791898e-15,2.6826115e-16,3.8751935e-17,7.2440097e-14
648.00,6.6275804e-14,5.5251785e-15,2.6181064e-16,3.782275e-17,7.2100841e-14
650.00,6.5993194e-14,5.4717326e-15,2.5553382e-16,3.6917633e-17,7.1757596e-14
652.00,6.5705971e-14,5.4188461e-15,2.4942551e-16,3.6035914e-17,7.1410487e-14
654.00,6.5414273e-14,5.3665129e-15,2.4348071e-16,3.5176948e-17,7.1059645e-14
656.00,6.511824e-14,5.3147273e-15,2.3769459e-16,3.4340105e-17,7.0705197e-14
658.00,6.4818013e-14,5.2634833e-15,2.3206247e-16,3.3524776e-17,7.0347272e-14
660.00,6.4513731e-14,5.2127752e-15,2.2657983e-16,3.2730368e-17,6.9985998e-14
662.00,6.4205532e-14,5.1625973e-15,2.2124227e-16,3.1956306e-17,6.9621503e-14
664.00,6.3893555e-14,5.1129439e-15,2.1604555e-16,3.1202033e-17,6.9253916e-14
666.00,6.3577938e-14,5.0638093e-15,2.1098558e-16,3.0467006e-17,6.8883363e-14
668.00,6.3258818e-14,5.0151881e-15,2.0605836e-16,2.9750699e-17,6.8509972e-14
670.00,6.293633e-14,4.9670746e-15,2.0126005e-16,2.9052601e-17,6.8133869e-14
672.00,6.2610611e-14,4.9194635e-15,1.9658692e-16,2.8372217e-17,6.775518e-14
674.00,6.2281795e-14,4.8723493e-15,1.9203536e-16,2.7709065e-17,6.737403e-14
