wavelength_nm,ED_m2,MD_m2,EQ_m2,MQ_m2,Total_m2
400.00,4.361356e-14,1.8743847e-14,1.0056298e-14,1.1260543e-15,7.3598868e-14
402.00,4.4210653e-14,1.8572471e-14,9.7347575e-15,1.0923102e-15,7.366608e-14
404.00,4.4804933e-14,1.8401967e-14,9.4225125e-15,1.0596148e-15,7.3741885e-14
406.00,4.5396281e-14,1.8232364e-14,9.1194301e-15,1.0279353e-15,7.3826012e-14
408.00,4.5984577e-14,1.8063688e-14,8.8253647e-15,9.9723957e-16,7.3918181e-14
410.00,4.6569702e-14,1.7895963e-14,8.5401599e-15,9.674968e-16,7.4018099e-14
412.00,4.7151537e-14,1.7729212e-14,8.2636502e-15,9.3867695e-16,7.4125464e-14
414.00,4.7729963e-14,1.7563458e-14,7.9956622e-15,9.1075094e-16,7.4239969e-14
416.00,4.830486e-14,1.739872e-14,7.7360161e-15,8.8369058e-16,7.4361297e-14
418.00,4.8876109e-14,1.7235017e-14,7.4845269e-15,8.5746857e-16,7.4489129e-14
420.00,4.9443592e-14,1.7072367e-14,7.2410054e-15,8.3205843e-16,7.4623139e-14
422.00,5.0007189e-14,1.6910785e-14,7.0052594e-15,8.0743453e-16,7.4763e-14
424.00,5.056678e-14,1.6750287e-14,6.7770946e-15,7.8357203e-16,7.4908382e-14
426.00,5.1122247e-14,1.6590886e-14,6.5563154e-15,7.6044686e-16,7.5058954e-14
428.00,5.1673469e-14,1.6432596e-14,6.3427257e-15,7.380357e-16,7.5214383e-14
430.00,5.2220327e-14,1.6275428e-14,6.1361294e-15,7.1631599e-16,7.5374339e-14
432.00,5.2762702e-14,1.6119393e-14,5.9363312e-15,6.9526584e-16,7.553849e-14
434.00,5.3300473e-14,1.5964501e-14,5.7431373e-15,6.7486408e-16,7.5706507e-14
436.00,5.3833522e-14,1.5810759e-14,5.5563555e-15,6.550902e-16,7.5878061e-14
438.00,5.4361728e-14,1.5658177e-14,5.3757957e-15,6.3592433e-16,7.6052827e-14
440.00,5.4884972e-14,1.5506761e-14,5.2012707e-15,6.1734723e-16,7.6230483e-14
442.00,5.5403133e-14,1.5356518e-14,5.0325959e-15,5.993403e-16,7.6410707e-14
444.00,5.5916094e-14,1.5207452e-14,4.86959e-15,5.8188547e-16,7.6593184e-14
446.00,5.6423734e-14,1.505957e-14,4.7120748e-15,5.6496531e-16,7.6777599e-14
448.00,5.6925934e-14,1.4912873e-14,4.5598762e-15,5.485629e-16,7.6963644e-14
450.00,5.7422575e-14,1.4767367e-14,4.4128232e-15,5.3266188e-16,7.7151013e-14
452.00,5.7913538e-14,1.4623054e-14,4.2707492e-15,5.172464e-16,7.7339404e-14
454.00,5.8398705e-14,1.4479935e-14,4.1334912e-15,5.0230112e-16,7.7528521e-14
456.00,5.8877959e-14,1.4338012e-14,4.0008905e-15,4.878112e-16,7.7718071e-14
458.00,5.935118e-14,1.4197286e-14,3.8727922e-15,4.7376226e-16,7.7907766e-14
460.00,5.9818254e-14,1.4057758e-14,3.7490457e-15,4.6014038e-16,7.8097323e-14
462.00,6.0279062e-14,1.3919426e-14,3.6295045e-15,4.4693211e-16,7.8286464e-14
464.00,6.0733489e-14,1.3782292e-14,3.5140262e-15,4.3412439e-16,7.8474914e-14
466.00,6.1181421e-14,1.3646353e-14,3.4024725e-15,4.2170461e-16,7.8662405e-14
468.00,6.1622742e-14,1.3511607e-14,3.2947091e-15,4.0966056e-16,7.8848673e-14
470.00,6.205734e-14,1.3378054e-14,3.1906059e-15,3.9798042e-16,7.9033459e-14
472.00,6.2485103e-14,1.324569e-14,3.0900367e-15,3.8665273e-16,7.9216511e-14
474.00,6.2905919e-14,1.3114513e-14,2.9928793e-15,3.7566643e-16,7.9397578e-14
476.00,6.3319677e-14,1.2984519e-14,2.8990151e-15,3.6501078e-16,7.9576417e-14
478.00,6.372627e-14,1.2855706e-14,2.8083296e-15,3.5467543e-16,7.9752791e-14
480.00,6.412559e-14,1.2728069e-14,2.7207119e-15,3.4465031e-16,7.9926465e-14
482.00,6.451753e-14,1.2601604e-14,2.6360547e-15,3.3492572e-16,8.0097211e-14
484.00,6.4901987e-14,1.2476307e-14,2.5542543e-15,3.2549224e-16,8.0264807e-14
486.00,6.5278857e-14,1.2352173e-14,2.4752106e-15,3.1634077e-16,8.0429034e-14
488.00,6.564804e-14,1.2229198e-14,2.3988266e-15,3.0746249e-16,8.0589681e-14
490.00,6.6009435e-14,1.2107375e-14,2.3250088e-15,2.9884887e-16,8.074654e-14
492.00,6.6362947e-14,1.19867e-14,2.2536669e-15,2.9049166e-16,8.0899408e-14
494.00,6.6708479e-14,1.1867168e-14,2.1847138e-15,2.8238286e-16,8.104809e-14
496.00,6.7045939e-14,1.1748771e-14,2.1180651e-15,2.7451474e-16,8.1192393e-14
498.00,6.7375236e-14,1.1631504e-14,2.0536397e-15,2.6687981e-16,8.1332131e-14
500.00,6.7696281e-14,1.1515362e-14,1.9913592e-15,2.5947083e-16,8.1467124e-14
502.00,6.8008989e-14,1.1400336e-14,1.9311479e-15,2.5228077e-16,8.1597196e-14
504.00,6.8313276e-14,1.1286422e-14,1.872933e-15,2.4530285e-16,8.1722176e-14
506.00,6.8609062e-14,1.1173612e-14,1.8166442e-15,2.385305e-16,8.1841901e-14
508.00,6.8896268e-14,1.1061899e-14,1.7622134e-15,2.3195736e-16,8.195621e-14
510.00,6.917482e-14,1.0951277e-14,1.7095755e-15,2.2557726e-16,8.206495e-14
512.00,6.9444646e-14,1.0841737e-14,1.6586673e-15,2.1938425e-16,8.2167971e-14
514.00,6.9705677e-14,1.0733274e-14,1.6094281e-15,2.1337255e-16,8.2265132e-14
516.00,6.9957847e-14,1.062588e-14,1.5617992e-15,2.0753659e-16,8.2356294e-14
518.00,7.0201093e-14,1.0519546e-14,1.5157242e-15,2.0187095e-16,8.2441325e-14
520.00,7.0435358e-14,1.0414267e-14,1.4711487e-15,1.963704e-16,8.2520098e-14
522.00,7.0660584e-14,1.0310034e-14,1.4280202e-15,1.9102987e-16,8.2592493e-14
524.00,7.0876719e-14,1.0206839e-14,1.3862882e-15,1.8584446e-16,8.2658394e-14
526.00,7.1083717e-14,1.0104675e-14,1.3459039e-15,1.8080941e-16,8.2717691e-14
528.00,7.128153e-14,1.0003533e-14,1.3068205e-15,1.7592012e-16,8.277028e-14
530.00,7.147012e-14,9.9034072e-15,1.2689926e-15,1.7117215e-16,8.2816061e-14
532.00,7.1649448e-14,9.8042882e-15,1.2323768e-15,1.6656118e-16,8.2854942e-14
534.00,7.1819481e-14,9.7061684e-15,1.1969309e-15,1.6208305e-16,8.2886834e-14
536.00,7.198019e-14,9.6090398e-15,1.1626146e-15,1.577337e-16,8.2911657e-14
538.00,7.213155e-14,9.5128944e-15,1.1293889e-15,1.5350922e-16,8.2929333e-14
540.00,7.2273539e-14,9.417724e-15,1.097216e-15,1.4940583e-16,8.2939792e-14
542.00,7.2406142e-14,9.3235208e-15,1.0660599e-15,1.4541986e-16,8.2942968e-14
544.00,7.2529344e-14,9.2302764e-15,1.0358857e-15,1.4154775e-16,8.2938803e-14
546.00,7.2643137e-14,9.1379829e-15,1.0066596e-15,1.3778606e-16,8.2927242e-14
548.00,7.2747517e-14,9.0466321e-15,9.7834941e-16,1.3413146e-16,8.2908237e-14
550.00,7.2842485e-14,8.9562159e-15,9.5092375e-16,1.3058072e-16,8.2881745e-14
552.00,7.2928043e-14,8.8667261e-15,9.2435257e-16,1.2713072e-16,8.2847729e-14
554.00,7.3004202e-14,8.7781546e-15,8.9860685e-16,1.2377843e-16,8.2806157e-14
556.00,7.3070974e-14,8.6904932e-15,8.7365863e-16,1.2052092e-16,8.2757003e-14
558.00,7.3128376e-14,8.6037339e-15,8.4948096e-16,1.1735534e-16,8.2700247e-14
560.00,7.317643e-14,8.5178685e-15,8.2604787e-16,1.1427896e-16,8.2635873e-14
562.00,7.3215162e-14,8.432889e-15,8.033343e-16,1.1128909e-16,8.2563871e-14
564.00,7.3244602e-14,8.3487872e-15,7.8131612e-16,1.0838317e-16,8.2484237e-14
566.00,7.3264786e-14,8.265555e-15,7.5997005e-16,1.0555869e-16,8.2396971e-14
568.00,7.3275752e-14,8.1831845e-15,7.3927365e-16,1.0281322e-16,8.230208e-14
570.00,7.3277543e-14,8.1016676e-15,7.1920528e-16,1.0014443e-16,8.2199575e-14
572.00,7.3270208e-14,8.0209963e-15,6.9974409e-16,9.7550038e-17,8.2089472e-14
574.00,7.3253797e-14,7.9411626e-15,6.8086995e-16,9.502784e-17,8.1971793e-14
576.00,7.3228368e-14,7.8621586e-15,6.6256345e-16,9.2575703e-17,8.1846564e-14
578.00,7.3193979e-14,7.7839764e-15,6.4480589e-16,9.019156e-17,8.1713815e-14
580.00,7.3150696e-14,7.7066082e-15,6.2757922e-16,8.7873405e-17,8.1573585e-14
582.00,7.3098586e-14,7.630046e-15,6.1086602e-16,8.5619298e-17,8.1425912e-14
584.00,7.3037721e-14,7.5542821e-15,5.9464951e-16,8.3427356e-17,8.1270844e-14
586.00,7.2968177e-14,7.4793087e-15,5.7891348e-16,8.1295757e-17,8.1108429e-14
