wavelength_nm,ED_m2,MD_m2,EQ_m2,MQ_m2,Total_m2
400.00,2.6927367e-14,8.8298744e-16,1.4667697e-15,1.5950406e-15,3.2975368e-14
402.00,2.6587168e-14,1.3590761e-15,2.3430796e-15,1.6110359e-15,3.5443905e-14
404.00,2.6230898e-14,1.8644602e-15,3.6182305e-15,1.6271861e-15,4.1002325e-14
406.00,2.585802e-14,2.3795298e-15,5.4812867e-15,1.6435815e-15,6.6046093e-14
408.00,2.5468028e-14,2.8915674e-15,8.2369785e-15,1.6603119e-15,1.6676832e-12
410.00,2.5060453e-14,3.3924972e-15,1.2391852e-14,1.6774672e-15,6.3972098e-14
412.00,2.4634865e-14,3.8773686e-15,1.8812644e-14,1.6951377e-15,5.4505944e-14
414.00,2.419087e-14,4.3433326e-15,2.9009186e-14,1.7134149e-15,6.1644685e-14
416.00,2.3728119e-14,4.7889483e-15,4.5562066e-14,1.7323925e-15,7.711584e-14
418.00,2.3246303e-14,5.2137121e-15,7.2296081e-14,1.7521668e-15,1.0331738e-13
420.00,2.2745164e-14,5.6177365e-15,1.1171631e-13,1.7728373e-15,1.423968e-13
422.00,2.2224495e-14,6.0015307e-15,1.5380878e-13,1.794508e-15,1.8421772e-13
424.00,2.1684142e-14,6.3658514e-15,1.6893412e-13,1.8172879e-15,1.9909037e-13
426.00,2.1124015e-14,6.7116e-15,1.4699878e-13,1.8412921e-15,1.7689785e-13
428.00,2.0544087e-14,7.0397536e-15,1.1286533e-13,1.8666428e-15,1.4249116e-13
430.00,1.9944407e-14,7.351318e-15,8.4192138e-14,1.8934706e-15,1.1352272e-13
432.00,1.9325101e-14,7.647297e-15,6.370832e-14,1.9219155e-15,9.2718687e-14
434.00,1.8686386e-14,7.9286715e-15,4.9509222e-14,1.9521287e-15,7.817311e-14
436.00,1.8028573e-14,8.1963872e-15,3.9535948e-14,1.9842741e-15,6.7826803e-14
438.00,1.7352083e-14,8.4513472e-15,3.234715e-14,2.0185299e-15,6.0238774e-14
440.00,1.6657456e-14,8.6944074e-15,2.7019104e-14,2.0550913e-15,5.4486097e-14
442.00,1.5945364e-14,8.9263756e-15,2.2965433e-14,2.0941726e-15,4.9983532e-14
444.00,1.5216625e-14,9.148011e-15,1.9808079e-14,2.1360101e-15,4.6354431e-14
446.00,1.4472221e-14,9.3600261e-15,1.729748e-14,2.1808651e-15,4.3350891e-14
448.00,1.3713314e-14,9.5630877e-15,1.5264674e-14,2.2290284e-15,4.0805851e-14
450.00,1.2941268e-14,9.7578199e-15,1.3592426e-14,2.2808242e-15,3.8604219e-14
452.00,1.2157671e-14,9.9448059e-15,1.2197503e-14,2.3366153e-15,3.6665166e-14
454.00,1.1364358e-14,1.0124591e-14,1.1019557e-14,2.3968097e-15,3.4931034e-14
456.00,1.0563445e-14,1.0297685e-14,1.0013989e-14,2.4618678e-15,3.3360231e-14
458.00,9.7573524e-15,1.0464566e-14,9.1472621e-15,2.5323111e-15,3.1922576e-14
460.00,8.9488454e-15,1.0625678e-14,8.3937554e-15,2.6087326e-15,3.0596201e-14
462.00,8.1410698e-15,1.0781442e-14,7.7336148e-15,2.6918097e-15,2.9365455e-14
464.00,7.3375947e-15,1.0932247e-14,7.1512526e-15,2.7823193e-15,2.8219452e-14
466.00,6.5424589e-15,1.1078463e-14,6.634284e-15,2.8811567e-15,2.7151083e-14
468.00,5.7602224e-15,1.1220434e-14,6.1727612e-15,2.989358e-15,2.615632e-14
470.00,4.9960218e-15,1.1358486e-14,5.7586131e-15,3.1081289e-15,2.5233739e-14
472.00,4.2556315e-15,1.1492924e-14,5.3852313e-15,3.2388792e-15,2.4384207e-14
474.00,3.5455289e-15,1.1624038e-14,5.0471579e-15,3.3832667e-15,2.3610676e-14
476.00,2.8729656e-15,1.17521e-14,4.7398501e-15,3.5432524e-15,2.2918077e-14
478.00,2.2460418e-15,1.1877368e-14,4.459499e-15,3.7211704e-15,2.2313284e-14
480.00,1.6737853e-15,1.2000086e-14,4.2028889e-15,3.9198178e-15,2.1805143e-14
482.00,1.1662335e-15,1.2120487e-14,3.967288e-15,4.1425704e-15,2.1404559e-14
484.00,7.345162e-16,1.223879e-14,3.7503617e-15,4.3935346e-15,2.1124648e-14
486.00,3.9093856e-16,1.2355205e-14,3.5501036e-15,4.6777473e-15,2.0980951e-14
488.00,1.4905966e-16,1.2469933e-14,3.3647806e-15,5.0014433e-15,2.0991723e-14
490.00,2.376441e-17,1.2583165e-14,3.1928885e-15,5.3724168e-15,2.1178327e-14
492.00,3.1322922e-17,1.2695084e-14,3.0331153e-15,5.8005178e-15,2.1565752e-14
494.00,1.8943149e-16,1.2805866e-14,2.884312e-15,6.2983424e-15,2.2183311e-14
496.00,5.172272e-16,1.291568e-14,2.7454683e-15,6.8822105e-15,2.306562e-14
498.00,1.0352667e-15,1.3024688e-14,2.6156923e-15,7.5735747e-15,2.4253955e-14
500.00,1.765458e-15,1.3133048e-14,2.4941939e-15,8.401092e-15,2.5798245e-14
502.00,2.7309313e-15,1.3240912e-14,2.3802704e-15,9.4037374e-15,2.7760045e-14
504.00,3.9558355e-15,1.3348426e-14,2.2732953e-15,1.0635602e-14,3.0217112e-14
506.00,5.4650429e-15,1.3455735e-14,2.1727081e-15,1.217349e-14,3.3270704e-14
508.00,7.2837459e-15,1.3562977e-14,2.0780055e-15,1.4129333e-14,3.705758e-14
510.00,9.4369311e-15,1.3670289e-14,1.9887351e-15,1.6671176e-14,4.1770454e-14
512.00,1.1948716e-14,1.3777804e-14,1.9044884e-15,2.0060098e-14,4.7694246e-14
514.00,1.4841539e-14,1.3885652e-14,1.8248959e-15,2.4718032e-14,5.5273088e-14
516.00,1.8135209e-14,1.3993961e-14,1.7496228e-15,3.1358486e-14,6.5240088e-14
518.00,2.1845811e-14,1.4102859e-14,1.6783647e-15,4.1251247e-14,7.8880942e-14
520.00,2.5984511e-14,1.4212469e-14,1.6108445e-15,5.6781336e-14,9.859168e-14
522.00,3.0556285e-14,1.4322916e-14,1.546809e-15,8.2630295e-14,1.2905869e-13
524.00,3.5558652e-14,1.4434322e-14,1.486027e-15,1.2782401e-13,1.7930528e-13
526.00,4.0980472e-14,1.454681e-14,1.4282864e-15,2.0447459e-13,2.614323e-13
528.00,4.6800942e-14,1.46605e-14,1.3733928e-15,2.9186995e-13,3.5470682e-13
530.00,5.2988856e-14,1.4775515e-14,1.3211671e-15,2.8099097e-13,3.5007844e-13
532.00,5.9502291e-14,1.4891976e-14,1.2714446e-15,1.8435721e-13,2.6002476e-13
534.00,6.6288773e-14,1.5010006e-14,1.2240732e-15,1.0910621e-13,1.9163081e-13
536.00,7.3286031e-14,1.5129727e-14,1.1789125e-15,6.6967263e-14,1.5656359e-13
538.00,8.0423336e-14,1.5251263e-14,1.1358325e-15,4.3697943e-14,1.4050996e-13
540.00,8.762343e-14,1.5374739e-14,1.0947128e-15,3.0132411e-14,1.342268e-13
542.00,9.4804927e-14,1.5500282e-14,1.0554415e-15,2.1732084e-14,1.3309417e-13
544.00,1.0188506e-13,1.5628021e-14,1.017915e-15,1.62464e-14,1.3477876e-13
546.00,1.087826e-13,1.5758087e-14,9.8203648e-16,1.2501401e-14,1.3802543e-13
548.00,1.154207e-13,1.5890611e-14,9.477161e-16,9.848936e-15,1.421092e-13
550.00,1.2172946e-13,1.6025731e-14,9.1486993e-16,7.9118755e-15,1.4658311e-13
552.00,1.2764812e-13,1.6163584e-14,8.8341965e-16,6.4604291e-15,1.5115668e-13
554.00,1.3312663e-13,1.6304313e-14,8.5329208e-16,5.3488814e-15,1.5563419e-13
556.00,1.3812655e-13,1.6448062e-14,8.2441874e-16,4.4815863e-15,1.5988164e-13
558.00,1.4262141e-13,1.6594981e-14,7.9673551e-16,3.7938539e-15,1.6380796e-13
560.00,1.4659635e-13,1.6745224e-14,7.701823e-16,3.2407727e-15,1.6735347e-13
562.00,1.500474e-13,1.6898949e-14,7.4470272e-16,2.790439e-15,1.7048238e-13
564.00,1.5298022e-13,1.7056319e-14,7.202438e-16,2.4197249e-15,1.7317736e-13
566.00,1.5540881e-13,1.7217503e-14,6.967558e-16,2.1115599e-15,1.7543544e-13
568.00,1.5735385e-13,1.7382674e-14,6.7419188e-16,1.8531394e-15,1.7726463e-13
570.00,1.5884125e-13,1.7552012e-14,6.5250798e-16,1.6347189e-15,1.7868123e-13
572.00,1.5990067e-13,1.7725706e-14,6.3166256e-16,1.448785e-15,1.7970753e-13
574.00,1.6056414e-13,1.7903947e-14,6.1161648e-16,1.2894755e-15,1.8036986e-13
576.00,1.6086495e-13,1.8086939e-14,5.9233279e-16,1.152167e-15,1.8069704e-13
578.00,1.6083667e-13,1.8274891e-14,5.737766e-16,1.0331766e-15,1.8071914e-13
580.00,1.6051235e-13,1.8468021e-14,5.5591496e-16,9.2954441e-16,1.8046642e-13
582.00,1.5992392e-13,1.8666555e-14,5.3871669e-16,8.388712e-16,1.7996863e-13
584.00,1.5910178e-13,1.8870732e-14,5.2215231e-16,7.5919743e-16,1.7925441e-13
586.00,1.5807448e-13,1.9080799e-14,5.0619389e-16,6.8891113e-16,1.7835091e-13
588.00,1.5686853e-13,1.9297014e-14,4.90815e-16,6.2667746e-16,1.7728354e-13
590.00,1.5550832e-13,1.9519649e-14,4.7599057e-16,5.7138422e-16,1.7607582e-13
592.00,1.5401611e-13,1.9748988e-14,4.6169681e-16,5.2209938e-16,1.7474936e-13
594.00,1.5241208e-13,1.9985326e-14,4.4791117e-16,4.7803766e-16,1.7332379e-13
596.00,1.5071436e-13,2.0228976e-14,4.3461223e-16,4.3853409e-16,1.7181691e-13
598.00,1.4893922e-13,2.0480265e-14,4.2177965e-16,4.0302291e-16,1.702447e-13
600.00,1.4710113e-13,2.0739537e-14,4.0939407e-16,3.7102062e-16,1.6862147e-13
602.00,1.4521292e-13,2.1007152e-14,3.9743713e-16,3.4211225e-16,1.6695999e-13
604.00,1.4328591e-13,2.1283492e-14,3.858913e-16,3.159403e-16,1.6527159e-13
606.00,1.4133005e-13,2.1568956e-14,3.7473996e-16,2.9219556e-16,1.6356629e-13
608.00,1.3935407e-13,2.1863966e-14,3.6396724e-16,2.7060968e-16,1.6185294e-13
610.00,1.3736557e-13,2.2168967e-14,3.5355803e-16,2.5094896e-16,1.6013936e-13
612.00,1.3537114e-13,2.248443e-14,3.4349794e-16,2.3300924e-16,1.5843238e-13
614.00,1.3337652e-13,2.281085e-14,3.3377324e-16,2.1661164e-16,1.5673805e-13
616.00,1.3138664e-13,2.3148753e-14,3.2437084e-16,2.0159895e-16,1.5506164e-13
618.00,1.2940572e-13,2.3498692e-14,3.1527824e-16,1.8783262e-16,1.5340779e-13
620.00,1.2743738e-13,2.3861257e-14,3.0648351e-16,1.7519026e-16,1.5178057e-13
622.00,1.254847e-13,2.423707e-14,2.9797527e-16,1.6356347e-16,1.5018356e-13
624.00,1.2355026e-13,2.4626792e-14,2.8974263e-16,1.5285598e-16,1.4861989e-13
626.00,1.2163625e-13,2.5031124e-14,2.8177519e-16,1.4298216e-16,1.4709236e-13
628.00,1.1974447e-13,2.545081e-14,2.7406301e-16,1.338656e-16,1.4560343e-13
630.00,1.1787642e-13,2.5886643e-14,2.6659657e-16,1.2543805e-16,1.4415531e-13
632.00,1.1603329e-13,2.6339464e-14,2.5936679e-16,1.1763838e-16,1.4274996e-13
634.00,1.1421605e-13,2.6810171e-14,2.5236496e-16,1.1041173e-16,1.413892e-13
636.00,1.1242547e-13,2.7299719e-14,2.4558273e-16,1.0370881e-16,1.4007466e-13
638.00,1.106621e-13,2.7809129e-14,2.3901214e-16,9.7485213e-17,1.388079e-13
640.00,1.0892636e-13,2.8339487e-14,2.3264553e-16,9.1700899e-17,1.3759037e-13
642.00,1.0721852e-13,2.8891958e-14,2.2647558e-16,8.6319684e-17,1.3642345e-13
644.00,1.0553875e-13,2.9467783e-14,2.2049527e-16,8.1308823e-17,1.353085e-13
646.00,1.0388709e-13,3.0068294e-14,2.1469787e-16,7.663864e-17,1.3424688e-13
